symbol,date,time,frequency,open,high,low,close,volume,value,kind,source,productionUsage
US10Y_MONTHLY_SAMPLE,2008-10-01,2008-10-01T00:00:00Z,monthly,3.81,3.81,3.81,3.81,,3.81,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2008-11-01,2008-11-01T00:00:00Z,monthly,3.53,3.53,3.53,3.53,,3.53,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2008-12-01,2008-12-01T00:00:00Z,monthly,2.42,2.42,2.42,2.42,,2.42,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2009-01-01,2009-01-01T00:00:00Z,monthly,2.52,2.52,2.52,2.52,,2.52,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2009-02-01,2009-02-01T00:00:00Z,monthly,2.87,2.87,2.87,2.87,,2.87,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2009-03-01,2009-03-01T00:00:00Z,monthly,2.82,2.82,2.82,2.82,,2.82,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2009-04-01,2009-04-01T00:00:00Z,monthly,2.93,2.93,2.93,2.93,,2.93,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2009-05-01,2009-05-01T00:00:00Z,monthly,3.29,3.29,3.29,3.29,,3.29,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2009-06-01,2009-06-01T00:00:00Z,monthly,3.72,3.72,3.72,3.72,,3.72,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2009-07-01,2009-07-01T00:00:00Z,monthly,3.56,3.56,3.56,3.56,,3.56,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2009-08-01,2009-08-01T00:00:00Z,monthly,3.59,3.59,3.59,3.59,,3.59,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2009-09-01,2009-09-01T00:00:00Z,monthly,3.4,3.4,3.4,3.4,,3.4,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2009-10-01,2009-10-01T00:00:00Z,monthly,3.39,3.39,3.39,3.39,,3.39,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2009-11-01,2009-11-01T00:00:00Z,monthly,3.4,3.4,3.4,3.4,,3.4,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2009-12-01,2009-12-01T00:00:00Z,monthly,3.59,3.59,3.59,3.59,,3.59,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2010-01-01,2010-01-01T00:00:00Z,monthly,3.73,3.73,3.73,3.73,,3.73,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2010-02-01,2010-02-01T00:00:00Z,monthly,3.69,3.69,3.69,3.69,,3.69,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2010-03-01,2010-03-01T00:00:00Z,monthly,3.73,3.73,3.73,3.73,,3.73,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2010-04-01,2010-04-01T00:00:00Z,monthly,3.85,3.85,3.85,3.85,,3.85,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2010-05-01,2010-05-01T00:00:00Z,monthly,3.42,3.42,3.42,3.42,,3.42,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2010-06-01,2010-06-01T00:00:00Z,monthly,3.2,3.2,3.2,3.2,,3.2,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2010-07-01,2010-07-01T00:00:00Z,monthly,3.01,3.01,3.01,3.01,,3.01,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2010-08-01,2010-08-01T00:00:00Z,monthly,2.7,2.7,2.7,2.7,,2.7,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2010-09-01,2010-09-01T00:00:00Z,monthly,2.65,2.65,2.65,2.65,,2.65,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2010-10-01,2010-10-01T00:00:00Z,monthly,2.54,2.54,2.54,2.54,,2.54,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2010-11-01,2010-11-01T00:00:00Z,monthly,2.76,2.76,2.76,2.76,,2.76,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2010-12-01,2010-12-01T00:00:00Z,monthly,3.29,3.29,3.29,3.29,,3.29,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2011-01-01,2011-01-01T00:00:00Z,monthly,3.39,3.39,3.39,3.39,,3.39,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2011-02-01,2011-02-01T00:00:00Z,monthly,3.58,3.58,3.58,3.58,,3.58,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2011-03-01,2011-03-01T00:00:00Z,monthly,3.41,3.41,3.41,3.41,,3.41,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2011-04-01,2011-04-01T00:00:00Z,monthly,3.46,3.46,3.46,3.46,,3.46,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2011-05-01,2011-05-01T00:00:00Z,monthly,3.17,3.17,3.17,3.17,,3.17,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2011-06-01,2011-06-01T00:00:00Z,monthly,3.0,3.0,3.0,3.0,,3.0,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2011-07-01,2011-07-01T00:00:00Z,monthly,3.0,3.0,3.0,3.0,,3.0,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2011-08-01,2011-08-01T00:00:00Z,monthly,2.3,2.3,2.3,2.3,,2.3,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2011-09-01,2011-09-01T00:00:00Z,monthly,1.98,1.98,1.98,1.98,,1.98,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2011-10-01,2011-10-01T00:00:00Z,monthly,2.15,2.15,2.15,2.15,,2.15,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2011-11-01,2011-11-01T00:00:00Z,monthly,2.01,2.01,2.01,2.01,,2.01,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2011-12-01,2011-12-01T00:00:00Z,monthly,1.98,1.98,1.98,1.98,,1.98,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2012-01-01,2012-01-01T00:00:00Z,monthly,1.97,1.97,1.97,1.97,,1.97,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2012-02-01,2012-02-01T00:00:00Z,monthly,1.97,1.97,1.97,1.97,,1.97,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2012-03-01,2012-03-01T00:00:00Z,monthly,2.17,2.17,2.17,2.17,,2.17,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2012-04-01,2012-04-01T00:00:00Z,monthly,2.05,2.05,2.05,2.05,,2.05,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2012-05-01,2012-05-01T00:00:00Z,monthly,1.8,1.8,1.8,1.8,,1.8,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2012-06-01,2012-06-01T00:00:00Z,monthly,1.62,1.62,1.62,1.62,,1.62,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2012-07-01,2012-07-01T00:00:00Z,monthly,1.53,1.53,1.53,1.53,,1.53,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2012-08-01,2012-08-01T00:00:00Z,monthly,1.68,1.68,1.68,1.68,,1.68,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2012-09-01,2012-09-01T00:00:00Z,monthly,1.72,1.72,1.72,1.72,,1.72,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2012-10-01,2012-10-01T00:00:00Z,monthly,1.75,1.75,1.75,1.75,,1.75,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2012-11-01,2012-11-01T00:00:00Z,monthly,1.65,1.65,1.65,1.65,,1.65,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2012-12-01,2012-12-01T00:00:00Z,monthly,1.72,1.72,1.72,1.72,,1.72,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2013-01-01,2013-01-01T00:00:00Z,monthly,1.91,1.91,1.91,1.91,,1.91,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2013-02-01,2013-02-01T00:00:00Z,monthly,1.98,1.98,1.98,1.98,,1.98,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2013-03-01,2013-03-01T00:00:00Z,monthly,1.96,1.96,1.96,1.96,,1.96,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2013-04-01,2013-04-01T00:00:00Z,monthly,1.76,1.76,1.76,1.76,,1.76,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2013-05-01,2013-05-01T00:00:00Z,monthly,1.93,1.93,1.93,1.93,,1.93,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2013-06-01,2013-06-01T00:00:00Z,monthly,2.3,2.3,2.3,2.3,,2.3,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2013-07-01,2013-07-01T00:00:00Z,monthly,2.58,2.58,2.58,2.58,,2.58,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2013-08-01,2013-08-01T00:00:00Z,monthly,2.74,2.74,2.74,2.74,,2.74,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2013-09-01,2013-09-01T00:00:00Z,monthly,2.81,2.81,2.81,2.81,,2.81,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2013-10-01,2013-10-01T00:00:00Z,monthly,2.62,2.62,2.62,2.62,,2.62,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
